id,name,mode,quiet_cap,session,c1_dir,ema_align,sl,tp_mode,rr,risk,hesitation,seed,trades,wins,losses,wr,net,pf,maxdd,avg_win,avg_loss,benchmark,emotional_drag
Agent_06121,Agent_06121,ORIGINAL,3.0,,True,False,2.0,rr,0.83,0.5,0.3,1891594574,65,34,31,52.31,-3.54,0.906,-11.04,1.0,-1.211,False,0.0
Agent_07017,Agent_07017,ORIGINAL,3.0,,True,False,2.0,rr,0.86,0.75,0.1,349431637,65,34,31,52.31,-2.29,0.939,-11.04,1.036,-1.211,False,0.0
Agent_07813,Agent_07813,ORIGINAL,3.0,,True,False,2.0,rr,0.83,0.5,0.1,865249093,65,34,31,52.31,-3.54,0.906,-11.04,1.0,-1.211,False,0.0
Agent_02931,Agent_02931,SUPER_LOOSE,1.0,,False,True,3.0,close,1.08,1.0,0.1,705325439,2321,1212,1109,52.22,99.76,1.197,-20.2,0.5,-0.465,False,0.0
Agent_02932,Agent_02932,SUPER_LOOSE,1.0,,False,True,3.0,rr,1.08,1.0,0.3,1307681965,2321,1212,1109,52.22,99.76,1.197,-20.2,0.5,-0.465,False,0.0
Agent_03479,Agent_03479,SUPER_LOOSE,1.0,,False,True,1.5,close,1.09,0.75,0.0,1527032729,2321,1212,1109,52.22,106.84,1.214,-16.32,0.5,-0.458,False,0.0
Agent_03873,Agent_03873,SUPER_LOOSE,1.0,,False,True,1.5,rr,1.09,1.0,0.0,734743636,2321,1212,1109,52.22,106.84,1.214,-16.32,0.5,-0.458,False,0.0
Agent_03941,Agent_03941,SUPER_LOOSE,1.0,,False,True,1.5,close,1.09,0.5,0.3,1002374507,2321,1212,1109,52.22,106.84,1.214,-16.32,0.5,-0.458,False,0.0
Agent_03995,Agent_03995,SUPER_LOOSE,1.0,,False,True,2.0,close,1.07,0.25,0.1,1861718635,2321,1212,1109,52.22,95.16,1.186,-20.72,0.5,-0.469,False,0.0
Agent_04220,Agent_04220,SUPER_LOOSE_2,1.0,,False,True,5.0,close,1.07,0.75,0.2,1951109303,2321,1212,1109,52.22,97.93,1.193,-20.12,0.5,-0.466,False,0.0
Agent_04654,Agent_04654,SUPER_LOOSE_2,1.0,,False,True,2.0,rr,1.07,0.75,0.1,394812652,2321,1212,1109,52.22,95.16,1.186,-20.72,0.5,-0.469,False,0.0
Agent_09756,Agent_09756,SUPER_LOOSE,1.0,,False,True,3.0,close,1.08,0.5,0.0,130795935,2321,1212,1109,52.22,99.76,1.197,-20.2,0.5,-0.465,False,0.0
Agent_00306,Agent_00306,AGGRESSIVE,0.75,,True,False,3.0,close,1.16,1.0,0.1,717967293,136,71,65,52.21,7.01,1.286,-4.98,0.444,-0.383,False,0.0
Agent_00755,Agent_00755,AGGRESSIVE,0.75,,True,False,2.0,rr,1.12,1.0,0.3,129296004,136,71,65,52.21,6.19,1.244,-5.25,0.444,-0.396,False,0.0
Agent_02649,Agent_02649,AGGRESSIVE,0.75,,True,False,1.5,rr,1.17,1.0,0.1,1655618998,136,71,65,52.21,7.19,1.296,-4.75,0.444,-0.38,False,0.0
Agent_03140,Agent_03140,AGGRESSIVE,0.75,,True,False,2.0,close,1.12,0.25,0.0,245694807,136,71,65,52.21,6.19,1.244,-5.25,0.444,-0.396,False,0.0
Agent_03298,Agent_03298,AGGRESSIVE,0.75,,True,False,2.0,rr,1.12,0.25,0.2,467408656,136,71,65,52.21,6.19,1.244,-5.25,0.444,-0.396,False,0.0
Agent_04718,Agent_04718,AGGRESSIVE,0.75,,True,False,2.0,rr,1.12,0.25,0.3,1519202465,136,71,65,52.21,6.19,1.244,-5.25,0.444,-0.396,False,0.0
Agent_06351,Agent_06351,AGGRESSIVE,0.75,,True,False,2.0,rr,1.12,0.5,0.3,880525672,136,71,65,52.21,6.19,1.244,-5.25,0.444,-0.396,False,0.0
Agent_09632,Agent_09632,AGGRESSIVE,0.75,,True,False,2.0,rr,1.12,1.0,0.3,1600790697,136,71,65,52.21,6.19,1.244,-5.25,0.444,-0.396,False,0.0
Agent_09982,Agent_09982,AGGRESSIVE,0.75,,True,False,3.0,rr,1.16,0.25,0.2,2106849724,136,71,65,52.21,7.01,1.286,-4.98,0.444,-0.383,False,0.0
Agent_06734,Agent_06734,Sw0.6_Wi1.2,1.5,,True,False,0.5,close,1.76,0.5,0.2,1240894696,46,24,22,52.17,9.79,1.923,-2.24,0.85,-0.482,False,0.0
Agent_02081,Agent_02081,SUPER_LOOSE_2,1.0,,False,True,1.0,rr,1.13,0.75,0.1,1400432374,2321,1208,1113,52.05,118.52,1.244,-11.63,0.5,-0.444,False,0.0
Agent_08557,Agent_08557,SUPER_LOOSE_2,1.0,,False,True,1.0,close,1.13,0.75,0.3,1041707828,2321,1208,1113,52.05,118.97,1.245,-11.63,0.5,-0.444,False,0.0
